Severity,Start_Lat,Start_Lng,Distance(mi),Timezone,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Clearance_Class,Weather_Simplified,State_Other,Population,County_Other,Month
4,41.177412,-97.593388,0.72,Central,18.0,79.0,28.29,10.0,NW,14.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Cloudy,NE,869,Polk,Dec
2,30.40267825112151,-91.50048136667488,0.315,Central,81.0,84.0,30.01,10.0,WSW,7.0,0.0,False,False,False,False,True,False,False,False,False,False,False,Day,Very Long,Cloudy,LA,30243,Iberville,Jun
2,36.15038300000001,-95.986668,0.071,Central,78.0,68.0,29.41,10.0,NNE,5.0,0.0,False,False,True,False,False,False,False,False,False,False,True,Day,Very Long,Fair,OK,413143,Tulsa,Aug
2,30.100082,-90.900503,1.671,Central,56.0,37.0,30.11,10.0,WNW,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,LA,20195,Other,Feb
2,45.740046,-120.623372,6.659,Pacific,28.0,53.0,29.51,10.0,N,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Cloudy,OR,626,Other,Feb
2,45.15418410279678,-107.36982464739144,1.758,Mountain,21.0,78.0,25.98,2.0,WNW,17.0,0.02,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Snow,MT,13125,Big Horn,Feb
2,40.720846,-74.00715500000003,0.011,Eastern,38.0,48.0,30.07,10.0,SW,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,NY,8805594,New York,Jan
2,32.385985999999995,-93.817139,0.032,Central,40.0,86.0,30.02,10.0,NNW,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,LA,187540,Caddo,Jan
2,35.25327,-82.217742,5.995,Eastern,52.0,100.0,29.1,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,NC,19324,Polk,Oct
2,36.133522,-95.912977,0.011,Central,84.0,33.0,29.49,10.0,ENE,8.0,0.0,False,False,False,False,False,False,False,True,True,False,False,Day,Very Long,Cloudy,OK,413143,Tulsa,Jun
2,25.969657,-80.165319,1.293,Eastern,58.0,97.0,30.09,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,FL,442244,Miami-Dade,Jan
2,36.046504,-96.013925,0.126,Central,48.0,68.0,29.42,10.0,NNE,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,OK,413143,Tulsa,Dec
2,45.05324721314882,-122.71309018076558,0.034,Pacific,29.0,92.0,29.66,2.0,NNW,8.0,0.0,False,False,False,False,False,False,False,False,True,False,True,Night,Very Long,Wintry,OR,10482,Marion,Feb
2,34.29758,-118.24345,1.141,Pacific,54.0,80.0,29.28,3.0,N,8.0,0.0,False,False,False,False,False,False,False,False,True,False,False,Night,Very Long,Haze,CA,10017401,Los Angeles,Dec
4,44.866443,-111.557204,0.521,Mountain,29.0,89.0,24.67,10.0,NNE,25.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Windy,MT,8625,Madison,Oct
2,34.409832,-117.39338899999998,1.077,Pacific,50.0,76.0,27.04,10.0,SW,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,CA,99815,San Bernardino,Dec
2,32.44456887229708,-93.95517468407652,0.5,Central,63.0,28.0,29.94,10.0,NNE,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,LA,237823,Caddo,Dec
2,25.810399,-80.15480500000002,1.192,Eastern,82.0,52.0,30.08,10.0,E,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,FL,82897,Miami-Dade,Apr
4,38.42780470829759,-95.73328614189272,0.459,Central,84.0,37.0,28.82,9.0,N,7.0,0.0,False,False,False,False,True,False,False,False,False,False,False,Day,Very Long,Fair,KS,886,Other,Aug
4,45.283355,-122.331934,0.1369999999999999,Pacific,70.0,59.0,29.89,0.25,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Smoke,OR,4421,Clackamas,Sep
2,28.522193,-81.285706,0.066,Eastern,67.0,90.0,30.06,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,FL,307785,Orange,Nov
2,29.989975,-82.36368399999998,0.472,Eastern,68.0,100.0,29.92,9.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,FL,1979,Union,Jun
4,43.258287,-122.174591,6.562,Pacific,75.0,24.0,29.29,1.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Haze,OR,111200,Douglas,Sep
2,45.75225800000001,-108.509661,0.818,Mountain,66.0,42.0,26.29,10.0,NW,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Cloudy,MT,117159,Yellowstone,Jun
2,46.32272601105535,-112.06851839965788,4.367,Mountain,16.0,68.0,26.14,5.0,W,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Cloudy,MT,12082,Jefferson,Apr
2,32.42559,-93.7631,0.125,Central,39.0,76.0,30.06,10.0,ESE,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,LA,187540,Caddo,Feb
4,41.010691,-96.216356,2.4090000000000003,Central,72.0,81.0,28.96,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Cloudy,NE,1500,Other,Aug
2,34.565659000000004,-112.373735,0.129,Mountain,67.0,70.0,25.06,10.0,NE,3.0,0.0,False,False,False,False,False,False,False,False,True,False,False,Night,Very Long,Fair,AZ,45903,Yavapai,Aug
2,32.441914000000004,-93.76355,0.028,Central,76.0,62.0,29.72,10.0,S,10.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Cloudy,LA,187540,Caddo,Dec
2,43.790677,-117.858999,3.612,Pacific,21.0,85.0,26.1,10.0,NNW,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,OR,31569,Malheur,Dec
2,28.580357,-81.207646,0.031,Eastern,70.0,84.0,30.01,10.0,E,6.0,0.0,False,False,False,False,False,False,False,True,False,False,False,Night,Very Long,Fair,FL,307785,Orange,Apr
2,41.646981,-108.65941399999998,0.8759999999999999,Mountain,31.0,69.0,23.47,10.0,WNW,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Cloudy,WY,23526,Sweetwater,Nov
2,35.86440682394092,-87.90305972057388,4.37,Central,57.0,31.0,29.48,10.0,ENE,16.0,0.0,False,False,False,False,True,False,False,False,False,False,False,Day,Very Long,Cloudy,TN,4301,Other,Mar
2,41.120871,-100.882891,5.59,Central,24.0,62.0,27.21,10.0,NNW,21.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Windy,NE,23407,Lincoln,Dec
2,40.227002,-79.610584,0.662,Eastern,86.0,58.0,28.87,15.0,SW,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,PA,354648,Westmoreland,Jul
2,32.26091,-93.967308,0.452,Central,63.0,93.0,29.79,4.0,SE,6.0,0.16,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Rain,LA,237823,Caddo,Dec
2,30.4024422167282,-91.5003955359864,3.806,Central,76.0,64.0,29.88,10.0,E,10.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,LA,30243,Iberville,May
2,36.119947,-95.891033,0.061,Central,37.0,57.0,29.68,10.0,VAR,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,OK,413143,Tulsa,Nov
2,33.98768,-117.363041,0.6920000000000001,Pacific,60.0,39.0,29.2,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,CA,315478,Riverside,Nov
2,30.218893289421946,-93.2950294013343,2.135,Central,82.0,79.0,30.01,10.0,SE,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Cloudy,LA,4973,Calcasieu,Sep
2,37.765236,-122.404898,0.031,Pacific,69.0,58.0,29.87,10.0,NW,13.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,CA,878392,San Francisco,Sep
4,30.206340551232305,-90.94320416407136,0.6829999999999999,Central,67.0,49.0,29.93,10.0,NE,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,LA,12221,Ascension,Mar
2,34.346684,-110.70675,1.192,Mountain,55.0,38.0,23.99,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,AZ,106715,Navajo,Nov
2,34.702116,-80.684081,0.046,Eastern,52.0,94.0,29.58,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Cloudy,SC,8523,Lancaster,Sep
2,25.781571,-80.35316800000003,0.131,Eastern,64.0,84.0,29.95,10.0,WNW,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Cloudy,FL,442244,Miami-Dade,Mar
2,32.492686,-93.74604,0.081,Central,72.0,81.0,29.73,10.0,SSE,12.0,0.0,False,False,False,False,False,False,False,False,False,False,True,Night,Very Long,Cloudy,LA,187540,Caddo,Nov
2,30.24528622612836,-93.1564986701338,1.381,Central,51.0,75.0,30.1,10.0,N,13.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,LA,84938,Calcasieu,Mar
2,36.073388,-95.975772,0.07,Central,75.0,90.0,29.23,10.0,SE,6.0,0.0,False,False,True,False,False,False,False,False,True,False,False,Night,Very Long,Fair,OK,413143,Tulsa,Aug
2,32.437046,-93.860352,0.126,Central,95.0,54.0,29.84,10.0,WSW,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Rain,LA,187540,Caddo,Jul
2,45.50221,-118.42226,3.491,Pacific,39.0,67.0,28.39,10.0,WSW,17.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,OR,17066,Umatilla,Feb
2,45.383059,-94.008075,1.465,Central,69.0,78.0,28.87,10.0,SE,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,MN,1922,Wright,Aug
2,32.486243,-93.724208,0.101,Central,35.0,96.0,29.88,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,LA,187540,Caddo,Feb
2,33.909756,-84.290531,0.036,Eastern,56.0,93.0,28.95,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,GA,498792,Other,May
2,32.562264,-93.154953,5.665,Central,67.0,61.0,29.87,10.0,SSE,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,LA,12987,Other,Dec
2,30.43876,-88.5484,0.8690000000000001,Central,82.0,88.0,30.07,10.0,ESE,8.0,0.02,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Storm,MS,12146,Jackson,Jul
2,29.579366,-90.723683,0.023,Central,84.0,74.0,29.98,7.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Rain,LA,33411,Terrebonne,Jul
2,33.984759000000004,-117.365246,0.929,Pacific,53.0,50.0,29.15,10.0,ENE,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,CA,315478,Riverside,Apr
2,36.17691636068261,-95.97427725746168,0.105,Central,64.0,19.0,29.27,10.0,NW,9.0,0.0,False,False,True,True,False,False,False,False,True,False,False,Day,Very Long,Fair,OK,413143,Tulsa,Feb
2,41.932367,-107.320563,0.593,Mountain,67.0,15.0,23.4,10.0,SW,13.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,WY,8236,Carbon,Sep
2,42.875782,-117.50732,0.068,Mountain,46.0,57.0,27.5,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,OR,134,Malheur,Oct
2,40.007985,-75.212172,1.031,Eastern,49.0,41.0,29.84,10.0,WNW,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,PA,856413,Montgomery,May
2,31.265249,-92.454144,0.052,Central,72.0,53.0,29.96,10.0,SW,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,LA,45262,Rapides,Dec
2,45.646830796977774,-110.88901162094643,2.61,Mountain,37.0,59.0,25.39,10.0,SE,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,MT,53563,Gallatin,Apr
2,25.929874,-80.18833000000002,0.116,Eastern,77.0,52.0,30.17,10.0,NE,14.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Cloudy,FL,43669,Miami-Dade,Dec
2,25.7846,-80.23616899999998,0.464,Eastern,48.0,68.0,30.18,10.0,N,8.0,0.0,False,False,False,False,True,False,False,False,False,False,False,Day,Very Long,Fair,FL,442244,Miami-Dade,Dec
2,29.895740747309222,-90.09002566294627,1.154,Pacific,65.0,93.0,30.07,10.0,CALM,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,Day,Very Long,Fair,LA,440784,Jefferson,May
3,39.935131,-105.125633,0.2700000107288361,Mountain,34.0,38.0,23.9,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,CO,74106,Other,Dec
2,34.234885,-84.44402,0.019,Eastern,55.0,54.0,28.54,10.0,WNW,5.0,0.0,False,False,False,False,False,False,False,False,False,False,True,Night,Very Long,Rain,GA,32946,Cherokee,Mar
2,33.920069,-118.0239,0.049,Pacific,74.0,55.0,29.65,10.0,S,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,CA,87865,Los Angeles,Apr
2,30.448412,-91.249307,1.09,Central,66.0,93.0,30.07,3.0,NNE,6.0,0.13,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Storm,LA,4941,West Baton Rouge,Jan
2,45.69395184495118,-109.41338896699231,2.408,Mountain,18.0,71.0,26.37,2.0,NNE,20.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Snow,MT,8963,Stillwater,Feb
2,32.441946,-93.754619,0.006,Central,57.0,83.0,30.01,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,Night,Very Long,Fair,LA,187540,Caddo,Nov
2,36.173947,-95.904568,0.029,Central,64.0,93.0,28.95,10.0,WNW,14.0,0.0,False,False,False,False,False,False,False,False,True,False,False,Night,Very Long,Cloudy,OK,413143,Tulsa,Apr
2,32.426965,-93.743836,0.018,Central,96.0,49.0,29.84,10.0,N,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,LA,187540,Caddo,Jul
2,26.08382821070631,-80.1687061782829,0.509,Eastern,71.0,70.0,29.95,10.0,SSE,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Cloudy,FL,182644,Broward,Jan
2,47.91227,-116.84467,0.0,Pacific,68.0,43.0,27.61,10.0,WSW,14.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Rain,ID,2337,Other,Jun
2,45.271627,-120.747451,0.415,Pacific,26.6,93.0,29.76,0.5,E,4.6,0.01,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Snow,OR,153,Sherman,Feb
2,36.235132,-95.958408,0.038,Central,37.0,39.0,29.45,10.0,S,10.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Cloudy,OK,413143,Tulsa,Dec
2,47.02164000000001,-114.362863,0.978,Mountain,24.0,84.0,26.91,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Cloudy,MT,117928,Missoula,Dec
2,30.056930780267443,-89.94389891581562,0.298,Central,85.0,74.0,29.98,10.0,NNW,5.0,0.0,False,False,False,False,True,False,False,False,False,False,False,Night,Very Long,Rain,LA,384130,Orleans,Jul
4,30.118179,-91.943682,0.056,Central,73.0,66.0,30.04,10.0,ENE,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,LA,13469,Lafayette,Nov
2,45.154183,-107.369831,1.721,Mountain,32.0,73.0,26.25,10.0,NW,23.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Windy,MT,13125,Big Horn,Nov
2,44.31778,-120.6667,0.214,Pacific,34.0,82.0,27.08,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,OR,10739,Crook,Oct
2,32.942186,-93.898787,0.141,Central,43.0,60.0,29.74,10.0,ENE,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Cloudy,LA,237823,Caddo,Jan
2,32.543554,-93.809217,0.064,Central,82.0,62.0,29.82,10.0,E,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,LA,187540,Caddo,Jun
2,25.685064,-80.427401,0.16,Eastern,74.0,73.0,30.13,10.0,E,13.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Cloudy,FL,442244,Miami-Dade,May
2,47.96747,-122.198321,0.8170000000000001,Pacific,50.0,71.0,29.42,10.0,N,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,WA,110600,Snohomish,Apr
2,33.436796,-111.83124,0.054,Mountain,92.0,30.0,28.72,10.0,VAR,5.0,0.0,False,False,True,False,False,False,False,False,False,False,True,Day,Very Long,Fair,AZ,504374,Maricopa,Jun
2,45.49659000000001,-122.565256,6.989,Pacific,37.0,65.0,29.96,7.0,ESE,17.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Cloudy,OR,652522,Multnomah,Feb
4,44.110246,-122.662256,1.6840000000000002,Pacific,56.0,80.0,29.67,3.0,SSE,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Smoke,OR,382974,Lane,Sep
2,46.937872,-114.099994,0.243,Mountain,14.0,84.0,26.66,3.0,WSW,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Snow,MT,74137,Missoula,Dec
2,28.390709,-81.404667,0.008,Eastern,71.0,96.0,29.91,10.0,N,5.0,0.0,False,False,True,False,False,False,False,False,False,False,True,Day,Very Long,Cloudy,FL,307785,Orange,Nov
2,30.24708867058636,-92.78279185250862,2.34,Central,73.0,100.0,29.94,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,LA,32249,Jefferson Davis,May
2,29.630262,-90.704682,0.087,Central,81.0,84.0,29.9,7.0,WSW,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,LA,33411,Terrebonne,Jul
4,39.754257,-75.55317099999998,0.48,Eastern,45.0,53.0,29.81,10.0,WNW,14.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,DE,70889,New Castle,Mar
4,33.53536963446839,-112.11242079681342,0.511,Mountain,64.0,22.0,28.85,10.0,VAR,5.0,0.0,False,False,False,False,True,False,False,False,False,False,False,Day,Very Long,Rain,AZ,1608415,Maricopa,Feb
2,37.677866,-112.847284,0.024,Mountain,31.0,47.0,24.45,10.0,NE,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,UT,57281,Other,Mar
2,33.979746,-117.370125,0.818,Pacific,63.0,38.0,29.22,10.0,S,3.0,0.0,False,False,False,False,True,False,False,False,False,False,True,Day,Very Long,Cloudy,CA,315478,Riverside,Feb
2,45.832873,-109.920898,0.115,Mountain,35.0,70.0,25.21,10.0,SW,17.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Cloudy,MT,1640,Other,Oct
2,30.643411,-91.245907,0.257,Central,85.0,77.0,29.78,10.0,W,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Rain,LA,19423,East Baton Rouge,Sep
2,32.538818,-93.761508,0.115,Central,87.0,48.0,29.62,10.0,NE,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,LA,187540,Bossier,Sep
2,32.541466,-93.846794,0.242,Central,85.0,38.0,29.62,10.0,W,13.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,LA,187540,Caddo,Oct
2,32.519725,-93.708146,0.7390000000000001,Central,47.0,91.0,29.46,6.0,ESE,5.0,0.22,False,False,False,False,True,False,False,False,False,False,False,Night,Very Long,Rain,LA,62720,Bossier,Dec
2,39.68320727329405,-75.65798163377923,0.72,Eastern,41.0,31.0,30.27,10.0,NNE,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,DE,30621,New Castle,Mar
2,30.19752144799138,-93.18471550897034,0.942,Central,90.0,59.0,29.98,10.0,ESE,8.0,0.0,False,False,False,False,True,False,False,False,False,False,False,Day,Very Long,Cloudy,LA,84938,Calcasieu,Jul
2,29.36786056,-94.95980144,1.026,Central,55.0,59.0,30.4,10.0,ESE,8.0,0.0,False,False,True,False,False,False,True,False,False,False,False,Day,Very Long,Cloudy,TX,18377,Other,Jan
2,32.399845,-93.802635,0.189,Central,81.0,79.0,29.73,6.0,NNE,10.0,0.02,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Rain,LA,187540,Caddo,Jul
2,30.402021,-91.173941,0.077,Central,57.0,72.0,30.18,10.0,VAR,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,LA,226926,East Baton Rouge,Oct
2,36.061105,-96.004088,0.07,Central,44.0,55.0,29.42,10.0,S,13.0,0.0,False,False,True,False,False,False,False,False,False,False,True,Day,Very Long,Cloudy,OK,413143,Tulsa,Dec
4,40.78197,-73.97165,0.534,Eastern,54.0,43.0,29.69,10.0,SW,10.0,0.0,True,False,True,False,False,False,True,True,False,False,True,Day,Very Long,Fair,NY,8805594,New York,Feb
2,46.795443,-113.751631,1.131,Mountain,30.0,85.0,26.94,7.0,VAR,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Cloudy,MT,117928,Missoula,Dec
2,40.446025,-96.741958,2.004,Central,78.0,62.0,28.51,10.0,SSE,10.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,NE,21702,Other,Jul
2,39.09606,-84.522339,0.601,Eastern,36.0,82.0,29.67,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,OH,309561,Hamilton,Nov
